,Lambda,FID,MSE
318,412.0,1813.205078125,0.0012339014632659607
319,0.0007,3481.03173828125,0.8210927062417374
320,0.00041,3481.01220703125,0.8210927062422678
321,0.00014,3480.925537109375,0.8210927062417593
322,1.0,1419.2213134765625,0.13923116422883247
323,3e-05,3481.06005859375,0.8210927062426211
324,242.0,1683.741455078125,0.012924759831651407
325,2e-05,3480.979736328125,0.8210927062417976
326,1193.0,2176.32763671875,0.0005642011662304949
327,0.00203,3481.0146484375,0.8210927062394997
328,83.0,1631.7872314453125,0.002474502747745532
329,0.00346,3480.991943359375,0.8210927062426305
330,28.0,1450.129638671875,0.009041015786290895
331,10.0,1025.867431640625,0.0174375738579215
332,0.02,3481.03369140625,0.8210927062420452
333,2e-05,3480.869140625,0.8210927062422421
334,2.0,1597.341064453125,0.08554959901353018
335,3.0,1265.651611328125,0.06926643688924078
336,0.1,3481.01171875,0.8210927062426754
337,3.0,909.7515869140625,0.058572303568538764
338,0.00588,3481.046142578125,0.821092706242869
339,0.01,1527.061279296875,0.40384640317526244
340,0.04,3480.99951171875,0.8210927062436327
341,8e-05,3481.0068359375,0.8210927062431556
342,5e-05,3480.97998046875,0.8210927062408054
343,5.0,921.814453125,0.04196991391654657
344,0.00041,3480.95263671875,0.8210927062426749
345,0.00024,3480.979248046875,0.8210927062434605
346,0.02,3481.01416015625,0.8210927062418735
347,0.4,1275.9671630859375,0.2468173293635215
348,17.0,1272.646484375,0.009679433801201565
349,3.0,1179.5743408203125,0.06605222589600446
350,8e-05,3481.066162109375,0.8210927062430294
351,28.0,1182.5557861328125,0.006797734601255874
352,0.00014,3480.985595703125,0.8210927062402137
353,0.00024,3481.012939453125,0.8210927062423192
354,242.0,1702.20556640625,0.0043434819016249385
355,49.0,1701.3385009765625,0.0038840383119488767
356,0.1,3481.00634765625,0.8210927062414018
357,5e-05,3480.993896484375,0.8210927062444137
358,0.00014,3480.917724609375,0.8210927062424158
359,0.02,3480.964599609375,0.8210927062426503
360,3455.5878,2178.7353515625,1.4586779205558067e-05
361,0.1,3481.0712890625,0.8210927062435317
362,0.00014,3481.01513671875,0.8210927062423187
363,142.0,1473.6864013671875,0.0028470692225216316
364,5.0,1376.27001953125,0.04872519484771851
365,1.0,1719.8084716796875,0.09985339276203327
366,1.0,1585.511474609375,0.10982127954414267
367,0.00588,3481.0498046875,0.8210927062417317
368,1193.0,2080.30419921875,0.007075162380608709
369,0.7,1526.0244140625,0.1697276719613885
370,5.0,993.0445556640625,0.04250183687807051
371,0.00041,3480.977294921875,0.8210927062387792
372,701.0,1737.037109375,0.001203298509262759
373,5e-05,3480.918701171875,0.8210927062391036
374,10000.0,2157.27880859375,4.83891730705864e-05
375,3e-05,3480.873046875,0.8210927062427535
376,83.0,1766.606201171875,0.0037899984126180267
377,3455.5878,2680.30419921875,0.00040366492817796654
378,0.7,1640.7720947265625,0.11953528477693201
379,1e-05,3481.04345703125,0.8210927062432984
380,0.01701,1507.5433349609375,0.4414485941231659
381,1.0,645.296142578125,0.15731175971233333
382,242.0,1781.858642578125,0.0024485102990432776
383,2030.0,2222.6826171875,0.0005737251504123893
384,28.0,1341.4698486328125,0.006576564127390722
385,49.0,1468.1629638671875,0.0027787740352139935
386,5e-05,3480.920654296875,0.8210927062381518
387,0.00346,1508.499755859375,0.6344498896222903
388,0.4,1591.7635498046875,0.16045661327901328
389,0.01701,3480.9638671875,0.8210927062427487
