,Lambda,FID,MSE
265,0.00024,1.6289300918579102,0.45366762028397917
266,242.0,0.09659282118082047,0.0012125984169495585
267,142.0,0.1064426600933075,0.0016009568217903525
268,0.00346,1.6289300918579102,0.45366762028391727
269,242.0,0.12131070345640182,0.004114658089161779
270,0.00041,1.6289300918579102,0.45366762028397367
271,0.04,1.6289302110671997,0.4536676202842637
272,0.2,0.16044698655605316,0.1777832654900339
273,0.1,1.6289303302764893,0.45366762028493574
274,0.00346,1.6289300918579102,0.45366762028414864
275,28.0,0.09417739510536194,0.005288497631983115
276,10000.0,1.4984023571014404,0.0009276262200966851
277,0.2,0.101180799305439,0.24563117689010577
278,5e-05,1.6289299726486206,0.4536676202842152
279,142.0,1.6289305686950684,0.45366762031156144
280,0.00024,1.6289300918579102,0.45366762028393787
281,0.02,1.6289300918579102,0.4536676202839406
282,49.0,0.0988098755478859,0.0029485370070370265
283,28.0,1.6297681331634521,0.45366763280758954
284,28.0,0.09265930950641632,0.006316941782191294
285,242.0,0.09724916517734528,0.0009476586416824782
286,0.00203,1.6289300918579102,0.45366762028464436
287,0.00014,1.6289300918579102,0.45366762028402857
288,10.0,0.08743888884782791,0.020960714641524582
289,1193.0,0.11995410174131393,0.0012482883357616834
290,0.0007,1.6289303302764893,0.45366762028410124
291,0.1,1.6289300918579102,0.4536676202840376
292,3e-05,1.6289300918579102,0.45366762028398483
293,0.00346,1.6289300918579102,0.4536676202839308
294,1e-05,1.6289300918579102,0.4536676202839771
295,0.00024,1.6289300918579102,0.4536676202841687
296,8e-05,1.6289300918579102,0.4536676202840316
297,49.0,1.6291695833206177,0.4536676317787009
298,28.0,0.0924493670463562,0.005479816779011231
299,701.0,0.10387019068002701,0.0007472253949662648
300,2030.0,1.5596835613250732,0.001971314038235903
301,0.04,1.6289300918579102,0.45366762028412677
302,0.0007,1.6289300918579102,0.45366762028430324
303,0.08,1.6289300918579102,0.4536676202846413
304,242.0,0.11873577535152435,0.0016514426679736702
305,3.0,0.11091400682926178,0.038243411868208975
306,701.0,0.10460370779037476,0.0010539708036382985
307,0.2,1.6289302110671997,0.45366762028561736
308,0.00203,1.6289300918579102,0.45366762028412555
309,0.00346,1.6289300918579102,0.4536676202838645
310,2.0,0.0873834490776062,0.052028204690292304
311,0.02,1.6289300918579102,0.4536676202840786
312,0.01701,1.6289300918579102,0.45366762028402574
313,2030.0,0.22366653382778168,0.0029890451008511712
314,17.0,0.09672344475984573,0.009915060079814927
315,5.0,1.6288096904754639,0.45366762106667946
